Altitude_ft,Mach,PowerSetting,Thrust_lbf,FuelFlow_pph
10000,1.0,MAX,22030.3,41092.5
10000,1.2,IDLE,2039.8,1300.0
10000,1.2,MIL,13085.7,6116.7
10000,1.2,AB1,16449.4,18266.4
10000,1.2,AB2,19205.8,26174.3
10000,1.2,AB3,21066.6,34026.9
10000,1.2,AB4,22466.4,39689.9
10000,1.2,MAX,23568.5,45205.8
10000,1.4,IDLE,2067.6,1325.0
10000,1.4,MIL,13263.3,6259.9
10000,1.4,AB1,16672.7,19023.8
10000,1.4,AB2,19466.4,27259.6
10000,1.4,AB3,21352.5,35437.9
10000,1.4,AB4,22771.3,41335.7
10000,1.4,MAX,23888.3,47080.4
10000,1.6,IDLE,2067.7,1350.0
10000,1.6,MIL,13264.2,6320.5
10000,1.6,AB1,16673.7,19534.7
10000,1.6,AB2,19467.7,27991.6
10000,1.6,AB3,21353.8,36389.5
10000,1.6,AB4,22772.7,42445.6
10000,1.6,MAX,23889.9,48344.6
10000,1.8,IDLE,2067.7,1375.0
10000,1.8,MIL,13264.2,6380.6
10000,1.8,AB1,16673.7,20044.3
10000,1.8,AB2,19467.7,28721.8
10000,1.8,AB3,21353.8,37338.8
10000,1.8,AB4,22772.7,43552.9
10000,1.8,MAX,23889.9,49605.7
10000,2.0,IDLE,2067.7,1400.0
10000,2.0,MIL,13264.2,6440.8
10000,2.0,AB1,16673.7,20553.9
10000,2.0,AB2,19467.7,29452.0
10000,2.0,AB3,21353.8,38288.1
10000,2.0,AB4,22772.7,44660.2
10000,2.0,MAX,23889.9,50866.9
15000,0.0,IDLE,1762.1,1150.0
15000,0.0,MIL,11863.7,5447.4
15000,0.0,AB1,15153.9,15620.4
15000,0.0,AB2,17835.4,22562.7
15000,0.0,AB3,19657.6,29473.0
15000,0.0,AB4,21031.0,34488.3
15000,0.0,MAX,22062.7,39281.4
15000,0.2,IDLE,1766.8,1175.0
15000,0.2,MIL,11958.3,5490.9
15000,0.2,AB1,15274.7,15745.0
15000,0.2,AB2,17977.6,22742.6
15000,0.2,AB3,19814.3,29708.0
15000,0.2,AB4,21198.6,34763.3
15000,0.2,MAX,22238.6,39594.6
15000,0.4,IDLE,1786.4,1200.0
15000,0.4,MIL,12354.5,5672.8
15000,0.4,AB1,15780.8,16266.6
15000,0.4,AB2,18573.1,23496.0
15000,0.4,AB3,20470.7,30692.2
15000,0.4,AB4,21900.9,35915.0
15000,0.4,MAX,22975.3,40906.3
15000,0.6,IDLE,1795.6,1225.0
15000,0.6,MIL,12540.8,5758.3
15000,0.6,AB1,16018.8,16512.0
15000,0.6,AB2,18853.3,23850.5
15000,0.6,AB3,20779.6,31155.2
15000,0.6,AB4,22231.3,36456.8
15000,0.6,MAX,23321.9,41523.4
15000,0.8,IDLE,1750.8,1250.0
15000,0.8,MIL,11955.9,5544.7
15000,0.8,AB1,15271.7,16214.1
15000,0.8,AB2,17974.0,23420.2
15000,0.8,AB3,19810.4,30593.2
15000,0.8,AB4,21194.5,35799.2
15000,0.8,MAX,22234.2,40774.4
15000,1.0,IDLE,1622.2,1275.0
15000,1.0,MIL,10935.1,5121.4
15000,1.0,AB1,13967.7,15261.6
15000,1.0,AB2,16439.3,22044.4
15000,1.0,AB3,18118.9,28796.0
15000,1.0,AB4,19384.8,33696.1
15000,1.0,MAX,20335.7,38379.0
15000,1.2,IDLE,1738.1,1300.0
15000,1.2,MIL,11698.6,5532.7
15000,1.2,AB1,14943.0,16789.2
15000,1.2,AB2,17587.1,24251.0
15000,1.2,AB3,19383.9,31678.4
15000,1.2,AB4,20738.2,37069.0
15000,1.2,MAX,21755.6,42220.7
15000,1.4,IDLE,1761.8,1325.0
15000,1.4,MIL,11857.3,5662.3
15000,1.4,AB1,15145.7,17485.4
15000,1.4,AB2,17825.7,25256.6
15000,1.4,AB3,19647.0,32992.0
15000,1.4,AB4,21019.6,38606.1
15000,1.4,MAX,22050.8,43971.4
15000,1.6,IDLE,1761.9,1350.0
15000,1.6,MIL,11858.1,5717.1
15000,1.6,AB1,15146.7,17955.0
15000,1.6,AB2,17826.9,25934.8
15000,1.6,AB3,19648.2,33877.9
15000,1.6,AB4,21021.0,39642.8
15000,1.6,MAX,22052.2,45152.2
15000,1.8,IDLE,1761.9,1375.0
15000,1.8,MIL,11858.1,5771.5
15000,1.8,AB1,15146.7,18423.3
15000,1.8,AB2,17826.9,26611.3
15000,1.8,AB3,19648.2,34761.7
15000,1.8,AB4,21021.0,40676.9
15000,1.8,MAX,22052.2,46330.0
15000,2.0,IDLE,1761.9,1400.0
15000,2.0,MIL,11858.1,5826.0
15000,2.0,AB1,15146.7,18891.7
15000,2.0,AB2,17826.9,27287.9
15000,2.0,AB3,19648.2,35645.4
15000,2.0,AB4,21021.0,41711.1
15000,2.0,MAX,22052.2,47507.9
20000,0.0,IDLE,1492.1,1150.0
20000,0.0,MIL,10559.7,4898.6
20000,0.0,AB1,13714.5,14282.2
20000,0.0,AB2,16276.1,20801.9
20000,0.0,AB3,18028.7,27309.0
20000,0.0,AB4,19352.6,32062.5
20000,0.0,MAX,20301.9,36518.4
20000,0.2,IDLE,1496.1,1175.0
20000,0.2,MIL,10643.9,4937.6
20000,0.2,AB1,13823.9,14396.0
20000,0.2,AB2,16405.8,20967.8
20000,0.2,AB3,18172.4,27526.7
20000,0.2,AB4,19506.9,32318.2
20000,0.2,MAX,20463.8,36809.6
20000,0.4,IDLE,1512.7,1200.0
20000,0.4,MIL,10996.5,5101.2
20000,0.4,AB1,14281.8,14873.0
20000,0.4,AB2,16949.3,21662.5
20000,0.4,AB3,18774.5,28438.6
20000,0.4,AB4,20153.1,33388.8
20000,0.4,MAX,21141.8,38029.1
20000,0.6,IDLE,1520.4,1225.0
20000,0.6,MIL,11162.4,5178.2
20000,0.6,AB1,14497.3,15097.3
20000,0.6,AB2,17205.0,21989.3
20000,0.6,AB3,19057.7,28867.7
20000,0.6,AB4,20457.1,33892.5
20000,0.6,MAX,21460.7,38602.8
20000,0.8,IDLE,1482.5,1250.0
20000,0.8,MIL,10641.8,4986.0
20000,0.8,AB1,13821.1,14825.0
20000,0.8,AB2,16402.6,21592.6
20000,0.8,AB3,18168.9,28346.9
20000,0.8,AB4,19503.0,33281.2
20000,0.8,MAX,20459.8,37906.4
20000,1.0,IDLE,1373.6,1275.0
20000,1.0,MIL,9733.1,4605.4
20000,1.0,AB1,12641.0,13954.1
20000,1.0,AB2,15002.0,20324.1
20000,1.0,AB3,16617.5,26681.6
20000,1.0,AB4,17837.7,31326.0
20000,1.0,MAX,18712.8,35679.5
20000,1.2,IDLE,1471.7,1300.0
20000,1.2,MIL,10412.7,4975.3
20000,1.2,AB1,13523.6,15350.8
20000,1.2,AB2,16049.5,22358.5
20000,1.2,AB3,17777.7,29352.4
20000,1.2,AB4,19083.2,34461.7
20000,1.2,MAX,20019.3,39251.0
20000,1.4,IDLE,1491.8,1325.0
20000,1.4,MIL,10554.0,5091.8
20000,1.4,AB1,13707.1,15987.4
20000,1.4,AB2,16267.3,23285.6
20000,1.4,AB3,18019.0,30569.6
20000,1.4,AB4,19342.1,35890.7
20000,1.4,MAX,20291.0,40878.6
20000,1.6,IDLE,1491.9,1350.0
20000,1.6,MIL,10554.7,5141.0
20000,1.6,AB1,13708.0,16416.7
